eventid,iyear,imonth,iday,extended,country_txt,region_txt,provstate,city,latitude,longitude,specificity,vicinity,summary,success,suicide,attacktype1_txt,targtype1_txt,gname,motive,individual,nperps,nperpcap,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
1.97001E+11,1970,1,19,0,United States,North America,New Jersey,Jersey City,40.717892,-74.067467,1,0,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",1,0,Facility/Infrastructure Attack,Violent Political Party,White supremacists/nationalists,Intimidate the Black Panther Party.,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,20,0,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,1,0,,1,0,Assassination,Government (Diplomatic),Unknown,,0,1,,Unknown,1,,,0,,
1.97001E+11,1970,1,21,0,Philippines,Southeast Asia,Metropolitan Manila,Quezon City,14.67428,121.057495,1,0,,1,0,Bombing/Explosion,Government (Diplomatic),Unknown,,0,,,Explosives,0,,,0,,
1.97001E+11,1970,1,22,0,Venezuela,South America,Caracas,Caracas,10.482834,-66.962128,1,0,,1,0,Hostage Taking (Kidnapping),Business,Armed Forces of National Liberation- Venezuela (FALN),,0,3,,Unknown,0,,,0,,
1.97001E+11,1970,1,22,0,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,0,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,0,Bombing/Explosion,Private Citizens & Property,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,25,0,United States,North America,Mississippi,West Point,33.60651,-88.650419,1,0,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",1,0,Facility/Infrastructure Attack,Private Citizens & Property,White supremacists/nationalists,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,25,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",1,0,Armed Assault,Police,Black Nationalists,To kill police,0,-99,-99,Firearms,0,0,0,2,2,0
1.97001E+11,1970,1,26,0,United States,North America,Mississippi,West Point,33.60651,-88.650419,1,0,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",1,0,Bombing/Explosion,Government (General),Black Nationalists,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,26,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",1,0,Armed Assault,Police,Black Nationalists,To kill police,0,-99,-99,Firearms,0,0,0,0,0,0
1.97001E+11,1970,1,27,0,United States,North America,Ohio,Norwalk,41.241996,-82.615241,1,0,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",1,0,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,Protest and sabotage the draft,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,28,0,East Germany (GDR),Eastern Europe,Berlin,Berlin,52.50153,13.401851,1,0,,1,0,Facility/Infrastructure Attack,Police,Unknown,,0,,,Incendiary,,,,,,
1.97001E+11,1970,1,28,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",1,0,Bombing/Explosion,Religious Figures/Institutions,White supremacists/nationalists,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,30,0,United States,North America,Nebraska,South Sioux City,42.479999,-96.413046,1,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,0,Bombing/Explosion,Unknown,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,30,0,United States,North America,Nebraska,South Sioux City,42.46634,-96.41405,1,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,0,Bombing/Explosion,Business,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,30,0,United States,North America,Florida,Coral Gables,25.720851,-80.277857,1,0,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode.",1,0,Facility/Infrastructure Attack,Military,Student Radicals,To protest the R.O.T.C. program and the War in Vietnam,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,31,0,Philippines,Southeast Asia,Tarlac,Bamban,15.675051,120.331618,1,0,,0,0,Unknown,Military,New People's Army (NPA),,0,,,Unknown,0,,,1,,
1.97001E+11,1970,1,31,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,0,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged.",1,0,Bombing/Explosion,Police,Unknown,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,1,0,United States,North America,Oregon,Portland,45.511795,-122.675629,1,0,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",1,0,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,Protest and sabotage the draft,0,1,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,1,0,United States,North America,Illinois,Cairo,37.005105,-89.176269,1,0,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered.",1,0,Armed Assault,Police,Black Nationalists,To protest police presence in Pyramid Courts,0,-99,-99,Firearms,0,0,0,0,0,0
1.97002E+11,1970,2,2,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City.",0,0,Facility/Infrastructure Attack,Business,Unknown,,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,3,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",0,0,Facility/Infrastructure Attack,Business,Unknown,,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,3,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage.",0,0,Facility/Infrastructure Attack,Business,Unknown,,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,4,0,United States,North America,Ohio,Akron,41.084195,-81.514059,1,0,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages.",1,0,Bombing/Explosion,Private Citizens & Property,Strikers,The attack occurred during the violent Iowa Beef Packers strike.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,0,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties.",1,0,Bombing/Explosion,Transportation,Black Nationalists,Sabotage/protest the integration of Denver City Schools.,0,3,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes.",1,0,Bombing/Explosion,Government (General),White supremacists/nationalists,To intimidate/show dissatisfaction with White sympathizers of the African American cause.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area.",1,0,Bombing/Explosion,Religious Figures/Institutions,White supremacists/nationalists,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Puerto Rico,Dorado,18.460791,-66.264884,1,0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,0,Facility/Infrastructure Attack,Government (General),Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a General Electric facility in Rio Piedras, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,0,Facility/Infrastructure Attack,Utilities,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Puerto Rico,Carolina,18.441963,-66.026316,1,0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at Hotel San Juan in Carolina, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",1,0,Facility/Infrastructure Attack,Business,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,6,0,United States,North America,Massachusetts,Boston,42.3505,-71.105399,1,0,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States.  There were no casualties but the resulting fire damaged the office.",1,0,Facility/Infrastructure Attack,Military,Student Radicals,To protest the R.O.T.C. program,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,7,0,United States,North America,Wisconsin,Whitewater,42.838355,-88.743224,1,0,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States.  There were no casualties but the building sustained an estimated $1,000,000 in damages.",1,0,Facility/Infrastructure Attack,Educational Institution,Student Radicals,,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,8,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States.  There were no casualties but the building sustains minor damages.",1,0,Bombing/Explosion,Business,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,8,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States.  There are no casualties but the building sustains minor damages.",1,0,Bombing/Explosion,Business,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,9,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed.",0,0,Bombing/Explosion,Business,Armed Revolutionary Independence Movement (MIRA),To fight imperialism and exploitation.,0,1,1,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,9,0,United States,North America,Ohio,Batavia,39.07859,-84.179414,1,0,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union.  The automobiles were damaged, but there were no casualties.  There had been a recent labor strike at the nearby General Electric Evendale plant.",1,0,Bombing/Explosion,Private Citizens & Property,Strikers,Protest employees of General Electric who were not union members,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,10,0,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,1,0,,1,0,Armed Assault,Airports & Aircraft,Popular Front for the Liberation of Palestine (PFLP),,0,3,,Firearms,1,,,,,
1.97002E+11,1970,2,11,0,United States,North America,Michigan,Ypsilanti,42.263414,-83.665281,1,0,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States.  There were no casualties, but the buildings sustained an estimated $2,500 in damages.",1,0,Facility/Infrastructure Attack,Educational Institution,Student Radicals,,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97002E+11,1970,2,13,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,0,,1,0,Bombing/Explosion,Police,Unknown,,0,,,Explosives,0,,,7,,
1.97002E+11,1970,2,13,0,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,1,0,,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Popular Front for the Liberation of Palestine (PFLP),,0,,,Incendiary,7,,,9,,
1.97002E+11,1970,2,13,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,0,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change.  Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings.",1,0,Bombing/Explosion,Police,Black Nationalists,To intimidate the police.,0,-99,-99,Explosives,0,0,0,7,7,0
1.97002E+11,1970,2,15,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States.  There were no casualties, however, the glass doors of the building and windows were shattered.",1,0,Bombing/Explosion,Business,Left-Wing Militants,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,15,0,United States,North America,Oregon,Eugene,44.04483,-123.072606,1,0,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program.",1,0,Facility/Infrastructure Attack,Military,Student Radicals,To protest the University of Oregon's decision to retain the R.O.T.C. program,0,-99,-99,Incendiary,0,0,0,1,1,0
1.97002E+11,1970,2,16,0,United States,North America,California,San Francisco,37.755363,-122.443352,1,0,,1,0,Bombing/Explosion,Police,Unknown,,0,,,Explosives,1,,,0,,
1.97002E+11,1970,2,16,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,0,,1,0,Bombing/Explosion,Business,Unknown,,0,,,Explosives,0,,,0,,
1.97002E+11,1970,2,16,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,0,,1,0,Bombing/Explosion,Business,Unknown,,0,,,Explosives,0,,,0,,
1.97002E+11,1970,2,16,0,United States,North America,California,San Francisco,37.755363,-122.443352,1,0,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended.",0,0,Armed Assault,Police,Left-Wing Militants,To intimidate the police.,0,1,-99,Firearms,0,0,0,0,0,0
1.97002E+11,1970,2,17,0,United States,North America,California,Oakland,37.791927,-122.225906,1,0,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States.  The bombs never detonated.",0,0,Bombing/Explosion,Business,Unknown,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,17,0,United States,North America,Maryland,Buckeystown,39.334825,-77.431653,1,0,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States.  There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power.  Windows were also shattered in buildings a quarter of a mile a way.",1,0,Bombing/Explosion,Utilities,Unknown,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,17,0,United States,North America,Louisiana,Covington,30.493919,-90.132512,1,0,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated.",1,0,Bombing/Explosion,Educational Institution,White supremacists/nationalists,Suspected motive was to protest school integration.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,17,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"2/17/1970: Unknown perpetrators placed a gasoline bomb underneath the Armory at the University of Washington in Seattle, United States.  The bomb did not explode and was later discovered and removed.",0,0,Bombing/Explosion,Military,Student Radicals,Protest the War in Vietnam,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,18,0,United States,North America,Ohio,Cleveland,41.479561,-81.675461,1,0,"2/18/1970: Amidst a period racial strife at Cuyahoga Community College in Cleveland, Ohio, United States, unknown perpetrators detonated a bomb that damaged a car of a police officer working as a security guard.",1,0,Bombing/Explosion,Police,Black Nationalists,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,18,0,United States,North America,California,Vallejo,38.10083,-122.254954,1,0,"2/18/1970: Booby trapped handgrenades were discovered wired to a car in the parking lot of the Vallejo Police Department in California, United States.  The device was deactivated.",1,0,Bombing/Explosion,Police,Black Nationalists,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97002E+11,1970,2,20,0,United States,North America,Connecticut,Hartford,41.763325,-72.674069,1,0,"2/20/1970: Unknown perpetrators threw a Molotov cocktail at a Federal Building that housed a United States Courthouse in Hartford, Connecticut, United States.  There were no casualties but the building sustained an estimated $450 in damages.",1,0,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,,0,-99,-99,Incendiary,0,0,0,0,0,0
